age,flight_distance,inflight_wifi_service,departure_arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,onboard_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction,Gender_Male,customer_type_disloyal Customer,type_of_travel_Personal Travel,customer_class_Eco,customer_class_Eco Plus
24,479,4,3,3,3,4,4,2,2,2,1,4,1,4,0,0,0,1,0,0,1,0
38,1984,1,4,5,4,4,2,3,1,2,1,1,1,4,2,0,0,1,0,0,0,0
35,2288,1,3,2,3,3,2,3,2,1,4,2,4,3,0,0,0,0,0,1,1,0
47,526,2,5,2,3,3,2,5,3,3,5,5,4,3,0,0,0,1,0,1,1,0
70,600,2,4,2,3,4,2,4,4,2,5,5,4,4,0,0,0,1,0,1,1,0
67,447,4,4,4,1,2,4,3,3,4,4,5,4,2,7,0,0,1,0,1,1,0
38,235,3,0,3,5,5,3,5,1,4,3,3,4,5,1,0,0,0,1,0,1,0
33,346,1,5,1,1,5,1,5,3,2,4,3,4,5,0,0,0,1,0,1,0,1
43,2133,3,4,5,4,3,3,3,2,1,2,3,4,3,0,4,0,1,0,0,1,0
22,936,2,3,3,3,1,3,2,2,5,4,4,3,1,0,0,0,1,1,0,1,0
39,328,1,0,1,4,1,1,1,3,3,1,3,2,1,0,0,0,1,1,0,1,0
28,311,3,4,3,1,1,3,1,4,3,5,5,5,1,0,0,0,0,0,1,1,0
36,2442,2,5,2,1,2,1,3,5,5,5,3,3,3,13,8,0,1,0,1,1,0
47,495,3,0,2,1,5,2,5,4,5,2,5,5,5,0,0,0,0,1,0,1,0
56,683,2,5,2,5,3,2,3,4,3,5,4,5,3,0,0,0,1,0,1,1,0
40,192,2,3,2,5,5,2,1,4,2,4,5,5,5,0,6,0,1,0,1,1,0
61,86,1,5,1,1,5,1,5,4,5,4,5,5,5,0,0,0,1,0,1,0,1
13,237,3,4,3,3,5,3,5,5,4,5,4,4,5,0,0,0,1,0,1,1,0
25,1371,2,1,1,1,2,2,2,2,4,4,4,3,2,0,0,0,1,0,0,0,0
43,691,2,4,4,4,4,4,4,2,2,2,3,2,1,0,0,0,1,0,0,0,0
19,369,2,4,5,3,2,5,1,1,3,3,3,4,2,0,0,0,0,0,1,1,0
32,529,4,0,5,4,5,5,5,4,5,3,5,1,5,0,0,0,1,1,0,1,0
8,574,1,2,2,3,4,2,4,4,1,3,1,4,4,0,0,0,1,1,0,1,0
29,2475,3,2,2,2,3,3,3,1,4,2,4,4,3,0,10,0,0,0,0,1,0
32,2611,3,4,3,2,5,3,5,5,2,4,1,5,5,2,0,0,1,0,1,0,1
